;;;;;Outcome;Governance;;;Macroeconomic;;;Fiscal;;;;;;;;;;;Demograpy and Access;;;;;Geography and Location;;;;;
IDP;ID;Year;T;Nama;Corrupt;FinAudit;PolComm;YTElection;Resource;Industry;GDPCap;NRRev;GAF;SAF;GSExp;CapExp;GrantExp;SocAssExp;AdminFunc;InfraFunc;EduFunc;HealthFunc;Density;YearsSch;Povrate;Literacy;ElecAcces;Temperature;Rainfall;Elevation;Area;DistCapital;DistJKT
1100;1107;2016;7;Kab. Aceh Barat;0;4;0,82;1;39,94;13,63;84,82;2,93;77,14;19,94;20,23;22,44;1,99;0,19;31,16;15,58;24,95;16,35;22,22;8,70;20,38;96,94;99,10;25;3870;270,19;2928;155;1669
1100;1107;2017;8;Kab. Aceh Barat;1;4;0,82;0;44,57;12,72;94,25;3,00;74,17;22,83;22,01;23,14;1,46;0,09;32,88;15,14;22,83;17,55;22,64;9,04;20,28;98,37;97,70;24;3815;270,19;2928;155;1669
1100;1107;2018;9;Kab. Aceh Barat;1;4;0,82;0;47,25;12,15;32,53;3,85;73,00;23,15;24,69;15,82;0,64;0,34;35,01;11,78;21,75;19,25;72,25;9,08;19,31;97,67;98,55;24;3725;270,19;2928;155;1669
1100;1107;2019;10;Kab. Aceh Barat;0;4;0,88;0;47,56;12,05;33,66;4,97;72,22;22,81;16,51;19,28;2,64;0,43;34,20;10,93;22,27;20,01;73,30;9,09;18,79;98,01;99,52;24;4074;270,19;2928;155;1669
1100;1107;2020;11;Kab. Aceh Barat;0;4;0,88;0;49,61;12,21;35,75;4,44;74,77;20,79;14,00;20,45;0,55;0,51;35,76;10,24;24,18;19,58;70,32;9,37;18,34;100,02;99,57;24;4015;270,19;2928;155;1669
1100;1108;2010;1;Kab. Aceh Besar;0;3;0,81;2;31,74;16,17;70,81;9,00;82,62;8,38;10,51;13,90;1,67;1,83;25,18;10,28;40,70;11,18;34,69;9,43;18,80;95,12;98,48;24;2753;382,91;2969;29;1794
1100;1108;2011;2;Kab. Aceh Besar;0;3;0,81;1;31,10;16,37;71,12;7,49;83,68;8,83;12,01;13,49;1,48;1,62;25,16;11,83;40,39;11,19;35,44;9,44;18,36;96,06;96,82;24;2527;382,91;2969;29;1794
1100;1108;2012;3;Kab. Aceh Besar;0;4;0,81;0;31,10;16,38;72,33;6,14;85,66;8,20;14,30;9,67;3,07;2,60;26,68;7,02;42,38;11,65;36,21;9,45;17,50;95,59;96,71;24;2623;382,91;2969;29;1794
1100;1108;2013;4;Kab. Aceh Besar;1;4;0,81;4;31,06;16,46;73,87;4,92;84,73;10,35;13,63;11,57;3,10;0,05;35,65;9,47;28,84;11,92;36,93;9,46;16,88;96,68;97,13;24;2902;382,91;2969;29;1794
1100;1108;2014;5;Kab. Aceh Besar;0;4;0,81;3;30,95;16,56;75,26;3,69;86,41;9,90;12,30;17,93;2,78;1,16;22,90;10,92;37,15;12,41;37,72;9,61;16,13;97,55;98,81;24;2826;382,91;2969;29;1794
1100;1108;2015;6;Kab. Aceh Besar;0;4;0,81;2;30,50;16,75;70,67;3,69;86,41;9,90;12,30;17,93;8,80;1,12;41,64;12,34;39,75;14,70;41,79;9,91;15,93;98,15;99,85;24;2925;382,91;2969;29;1794
1100;1108;2016;7;Kab. Aceh Besar;1;4;0,81;1;29,59;16,90;72,01;2,04;68,16;29,80;8,34;22,00;4,95;1,81;39,54;15,75;24,59;8,95;42,67;9,92;15,55;98,05;99,30;25;2472;382,91;2969;29;1794
1100;1108;2017;8;Kab. Aceh Besar;1;4;0,81;0;28,48;16,39;73,39;2,35;74,98;22,67;10,25;16,27;3,45;3,56;45,13;9,43;21,97;11,15;43,54;9,93;15,41;97,21;99,18;24;3333;382,91;2969;29;1794
1100;1108;2018;9;Kab. Aceh Besar;0;4;0,81;0;27,26;16,73;23,18;1,97;76,70;21,33;13,16;14,87;2,87;2,29;42,12;6,34;30,19;12,19;143,07;10,14;14,47;98,74;98,97;24;2768;382,91;2969;29;1794
1100;1108;2019;10;Kab. Aceh Besar;0;4;0,91;0;27,04;17,91;23,84;1,56;74,24;24,20;17,66;15,49;3,67;1,98;43,05;9,14;23,55;13,63;145,16;10,31;13,92;98,66;99,16;24;2302;382,91;2969;29;1794
1100;1108;2020;11;Kab. Aceh Besar;0;4;0,91;0;28,13;22,96;24,78;1,79;76,78;21,43;11,78;14,51;3,47;1,47;48,34;6,22;22,34;14,46;140,21;10,32;13,84;100,00;99,81;24;3290;382,91;2969;29;1794
1100;1109;2010;1;Kab. Pidie;1;3;0,39;0;45,01;8,86;92,24;8,00;82,91;9,09;7,60;15,38;3,75;2,12;38,65;9,52;24,10;19,13;18,43;7,94;23,80;94,98;94,42;22;3010;710,31;3087;93;1731
1100;1109;2011;2;Kab. Pidie;1;3;0,39;0;44,71;8,96;94,07;6,54;86,62;6,84;13,05;13,19;3,30;1,86;36,63;8,95;25,83;17,76;18,83;7,96;23,19;96,30;95,88;22;2969;710,31;3087;93;1731
1100;1109;2012;3;Kab. Pidie;1;3;0,39;0;44,54;8,93;96,33;5,13;87,41;7,46;12,63;10,99;1,22;0,00;38,65;9,52;24,10;19,13;19,22;8,08;22,12;95,24;96,72;22;3190;710,31;3087;93;1731
1100;1109;2013;4;Kab. Pidie;0;3;0,39;0;44,09;9,05;98,62;3,79;87,52;8,69;13,84;12,80;3,07;1,20;36,63;8,95;25,83;17,76;19,56;8,15;21,12;94,16;98,31;22;3373;710,31;3087;93;1731
1100;1109;2014;5;Kab. Pidie;1;3;0,39;0;43,83;9,08;101,15;3,12;89,05;7,83;13,49;16,68;10,82;0,47;36,63;8,95;25,83;17,76;19,84;8,25;20,29;95,84;98,04;22;3075;710,31;3087;93;1731
1100;1109;2015;6;Kab. Pidie;1;3;0,39;0;43,79;9,14;89,70;3,12;89,05;7,83;13,49;16,68;2,26;0,00;46,94;12,93;39,12;24,02;23,46;8,74;21,18;95,40;98,23;22;3547;710,31;3087;93;1731
1100;1109;2016;7;Kab. Pidie;1;4;0,39;0;43,52;9,16;91,63;1,84;71,19;26,97;13,38;18,40;5,57;1,12;1,50;1,03;2,93;1,33;23,85;8,75;21,25;95,87;99,06;22;3022;710,31;3087;93;1731
1100;1109;2017;8;Kab. Pidie;1;4;0,39;0;43,06;9,48;94,22;1,97;74,11;23,92;18,82;14,82;3,76;1,30;42,11;9,01;23,67;17,08;24,22;8,76;21,43;96,57;98,04;22;3545;710,31;3087;93;1731
1100;1109;2018;9;Kab. Pidie;0;4;0,39;0;42,47;9,83;17,04;1,47;71,79;26,74;19,86;13,68;3,24;1,04;39,06;9,30;21,96;19,88;139,48;8,81;20,47;96,64;99,32;22;3184;710,31;3087;93;1731
1100;1109;2019;10;Kab. Pidie;0;4;0,89;0;41,94;9,99;17,58;1,28;75,31;23,41;20,94;14,13;4,56;1,28;37,65;10,35;22,68;20,99;141,21;8,82;19,46;96,65;99,68;22;2925;710,31;3087;93;1731
1100;1109;2020;11;Kab. Pidie;0;4;0,89;0;41,94;9,99;17,89;1,47;76,84;21,69;19,01;10,88;2,78;0,67;43,66;5,41;23,75;21,00;138,60;8,82;19,46;96,65;99,68;22;3518;710,31;3087;93;1731
1100;1110;2010;1;Kab. Bireuen;0;3;0,76;2;36,21;10,29;77,68;9,96;79,66;10,38;6,62;10,88;2,65;0,43;28,54;11,51;34,58;15,83;51,16;8,34;19,50;98,47;91,25;24;2965;347,67;1901;151;1687
1100;1110;2011;2;Kab. Bireuen;1;3;0,76;1;35,98;10,09;79,07;8,18;83,85;7,97;8,35;16,18;2,13;0,34;28,54;11,51;34,58;15,83;52,17;8,45;19,06;97,24;96,04;24;3115;347,67;1901;151;1687
1100;1110;2012;3;Kab. Bireuen;1;3;0,76;0;35,53;10,22;80,46;6,40;86,40;7,21;8,57;12,01;1,11;0,46;28,54;11,51;34,58;15,83;53,29;8,50;18,21;97,65;96,80;24;3102;347,67;1901;151;1687
1100;1110;2013;4;Kab. Bireuen;0;3;0,76;4;35,06;10,20;81,97;5,39;87,23;7,38;13,00;15,49;2,11;0,60;29,94;11,24;32,04;15,98;54,42;8,58;17,65;98,25;96,18;24;3355;347,67;1901;151;1687
